,id,createdtime,username,tweets
0,1.40711E+18,21-06-2021 23:03,JoeMenninger,"Apple Hires Former BMW Executive for Its Rebooted Car Project https://t.co/haZdJxtGGN
#icar #APPL #BMW #TechNews #automotive"
1,1.40708E+18,21-06-2021 20:44,TreblaHub,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
2,1.40702E+18,21-06-2021 17:08,AppleRetweetBot,"RT @Magicbullindia: Now sold a at $132

Mint Millions

Above X level see what happens to Apple 20% up in 1 day!!!!!!

Why ???

@tim_cook to…"
3,1.40702E+18,21-06-2021 17:05,Magicbullindia,"Now sold a at $132

Mint Millions

Above X level see what happens to Apple 20% up in 1 day!!!!!!

Why ???

@tim_cook told us big secret 😆

#Apple #appl https://t.co/r6kDfwWQlk"
4,1.40692E+18,21-06-2021 10:34,fred__sena,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
5,1.40672E+18,20-06-2021 21:21,sena_miles,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
6,1.40671E+18,20-06-2021 20:44,thekwamezayn,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
7,1.40668E+18,20-06-2021 18:23,WordsSamuel,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
8,1.40668E+18,20-06-2021 18:15,heisniiafro_,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
9,1.40665E+18,20-06-2021 16:43,peeg_7,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
10,1.40665E+18,20-06-2021 16:30,KwesiFrimp,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
11,1.40665E+18,20-06-2021 16:19,jnr_samba,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
12,1.40664E+18,20-06-2021 16:07,samopanyin,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
13,1.40664E+18,20-06-2021 15:44,yaw_morgan,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
14,1.40662E+18,20-06-2021 14:38,6_lashes3,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
15,1.40662E+18,20-06-2021 14:36,samuel_elinam,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
16,1.4066E+18,20-06-2021 13:10,nhana_adwoa,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
17,1.4066E+18,20-06-2021 13:07,GREAT_NEZZ,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
18,1.40659E+18,20-06-2021 12:33,flex_a_hoe,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
19,1.40659E+18,20-06-2021 12:28,__KobbyTakyi,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
20,1.40659E+18,20-06-2021 12:21,qwaku69,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
21,1.40658E+18,20-06-2021 12:03,DeeshotKofi,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
22,1.40658E+18,20-06-2021 12:00,lifebyniel,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
23,1.40658E+18,20-06-2021 11:47,Os_bourne10,"RT @igoodsghana: IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Pri…"
24,1.40658E+18,19-06-2021 11:44,igoodsghana,"IPhone XsMax 64Gig
Uk Used With Charger
Comes With Case And Protector
Very Neat, No Issues
Battery Health: 100Percent

Price; 3050Ghc (Promo)
Unlocked

Call or Whatsapp 0209522979
Location; Abossey Okai Zongo Junction Bus Stop or Search Igoodsgh On Google Map.
#igoodsgh #appl https://t.co/qlf4cyLtO3"
25,1.40594E+18,18-06-2021 17:21,abhibisht89,RT @AIApparelStore: What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplat…
26,1.40594E+18,18-06-2021 17:19,AIApparelStore,What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplatform #amazonwebservices #bigdata #bigdataanalytics #analytics #fintech #neuralnetworks #hadoop #deeplearning #APPL #GOOG https://t.co/uDBP5PVdmJ
27,1.40592E+18,18-06-2021 16:00,TradingSurfers,"#EEM Elliott Wave Analysis 📈

Charts are released earlier in our Discord group #joinus
Please like and share if you appreciate this #Elliottwave analysis

https://t.co/tDvfdQFQ4l

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #AMD #NVDA #SMH #XLK #JPM #M #PG #UNH #INTC #VZ #MA https://t.co/Z8VdS0GqYy"
28,1.4059E+18,18-06-2021 14:31,TechnobuggTweet,"Madhav Reveals Its Plans &amp; Arrival Of Upcoming Products Including Realme GT 5G In India
https://t.co/cYXcpmIKm0

#Realme #Android #news #smartphones #like4like #likeforlike #follow4follow #techblog #technews #futuretechnology #socialmedia #innovation #appl https://t.co/cYXcpmIKm0"
29,1.40587E+18,18-06-2021 12:59,xt_msc,"@jimcramer @wsb Fast forward to 3:20 secs and watch @jimcramer explaining on camera how to manipulate #appl. Spread lies as to how Verizon and ATT do not want apple phone, and more.. And this guy in on #CNBC giving financial advise. 
https://t.co/03FAFQ0UiC"
30,1.40586E+18,18-06-2021 11:56,CryptoKamado,"RT @iLiquidatebots: $btc $eth 

And what do institutions need before major expansion? A fk tonne of liquidity. This is what a pre-expansion…"
